Point_Index,DFCC_Chainage_Meters,DFCC_Chainage_Formatted,Relative_Distance_Meters,UTM_Zone,UTM_Easting,UTM_Northing,Latitude,Longitude
102,1077020.00,CH 1077+020,1020.00,43N,738565.063,3321044.821,29.99715166,77.47306023
103,1077030.00,CH 1077+030,1030.00,43N,738556.490,3321049.970,29.99719975,77.47297258
104,1077040.00,CH 1077+040,1040.00,43N,738547.918,3321055.119,29.99724784,77.47288494
105,1077050.00,CH 1077+050,1050.00,43N,738539.345,3321060.267,29.99729594,77.47279729
106,1077060.00,CH 1077+060,1060.00,43N,738530.772,3321065.416,29.99734403,77.47270964
107,1077070.00,CH 1077+070,1070.00,43N,738522.200,3321070.565,29.99739212,77.47262200
108,1077080.00,CH 1077+080,1080.00,43N,738513.627,3321075.714,29.99744021,77.47253435
109,1077090.00,CH 1077+090,1090.00,43N,738505.055,3321080.862,29.99748830,77.47244670
110,1077100.00,CH 1077+100,1100.00,43N,738496.482,3321086.011,29.99753639,77.47235905
111,1077110.00,CH 1077+110,1110.00,43N,738487.909,3321091.160,29.99758448,77.47227141
112,1077120.00,CH 1077+120,1120.00,43N,738479.337,3321096.309,29.99763257,77.47218376
113,1077130.00,CH 1077+130,1130.00,43N,738470.764,3321101.458,29.99768066,77.47209611
114,1077140.00,CH 1077+140,1140.00,43N,738462.191,3321106.606,29.99772875,77.47200846
115,1077150.00,CH 1077+150,1150.00,43N,738453.619,3321111.755,29.99777684,77.47192082
116,1077160.00,CH 1077+160,1160.00,43N,738445.046,3321116.904,29.99782494,77.47183317
117,1077170.00,CH 1077+170,1170.00,43N,738436.473,3321122.053,29.99787303,77.47174552
118,1077180.00,CH 1077+180,1180.00,43N,738427.901,3321127.201,29.99792112,77.47165787
119,1077190.00,CH 1077+190,1190.00,43N,738419.328,3321132.350,29.99796921,77.47157023
120,1077200.00,CH 1077+200,1200.00,43N,738410.756,3321137.499,29.99801730,77.47148258
121,1077210.00,CH 1077+210,1210.00,43N,738402.183,3321142.648,29.99806539,77.47139493
122,1077220.00,CH 1077+220,1220.00,43N,738393.610,3321147.797,29.99811348,77.47130728
123,1077230.00,CH 1077+230,1230.00,43N,738385.038,3321152.945,29.99816157,77.47121963
124,1077240.00,CH 1077+240,1240.00,43N,738376.465,3321158.094,29.99820966,77.47113198
125,1077250.00,CH 1077+250,1250.00,43N,738367.892,3321163.243,29.99825775,77.47104434
126,1077260.00,CH 1077+260,1260.00,43N,738359.320,3321168.392,29.99830584,77.47095669
127,1077270.00,CH 1077+270,1270.00,43N,738350.747,3321173.540,29.99835393,77.47086904
128,1077280.00,CH 1077+280,1280.00,43N,738342.174,3321178.689,29.99840202,77.47078139
129,1077290.00,CH 1077+290,1290.00,43N,738333.602,3321183.838,29.99845011,77.47069374
130,1077300.00,CH 1077+300,1300.00,43N,738325.029,3321188.987,29.99849820,77.47060609
131,1077310.00,CH 1077+310,1310.00,43N,738316.457,3321194.136,29.99854629,77.47051844
132,1077320.00,CH 1077+320,1320.00,43N,738307.884,3321199.284,29.99859438,77.47043079
133,1077330.00,CH 1077+330,1330.00,43N,738299.311,3321204.433,29.99864247,77.47034314
134,1077340.00,CH 1077+340,1340.00,43N,738290.739,3321209.582,29.99869056,77.47025550
